calendar_date,date_source,video_id,video_url,title,transcript_path,channel,slug,BTC,ETH,SOL,ADA,AVAX,LINK,DOGE,XRP,MSTR,USD,OTHER
2026-04-22,portfolio,1BgPQN887g0,https://www.youtube.com/watch?v=1BgPQN887g0,It's Time To Pay Attention,youtube/transcripts-top/crypto-currently/undated-it-s-time-to-pay-attention.md,crypto-currently,crypto-currently,,,,,,,,,,,
2026-04-30,portfolio,DytVHqxTpz0,https://www.youtube.com/watch?v=DytVHqxTpz0,We're Almost There,youtube/transcripts-top/crypto-currently/undated-we-re-almost-there.md,crypto-currently,crypto-currently,,,,,,,,,,,
2026-05-06,portfolio,cWxt74ARhWo,https://www.youtube.com/watch?v=cWxt74ARhWo,I Can't Believe This,youtube/transcripts-top/crypto-currently/undated-i-can-t-believe-this.md,crypto-currently,crypto-currently,,,,,,,,,,,
